Rank,EntryId,Username,Score,Max Possible Score,Winnings,Rd of 64,Rd of 32,Rd of 16,Rd of 8,Last 4,Championship,Tiebreaker
1,72e8c2aa-107e-4e0d-836e-6eedf6f5d2c8,0_2_60mph,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 6 Kentucky | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 7 Missouri | 1 Houston | 5 Miami (FL) | 6 Iowa State | 7 Texas A&M | 1 Kansas | 4 UConn | 6 TCU | 2 UCLA,1 Purdue | 6 Kentucky | 1 Alabama | 3 Baylor | 5 Miami (FL) | 6 Iowa State | 1 Kansas | 2 UCLA,1 Purdue | 1 Alabama | 5 Miami (FL) | 2 UCLA,1 Purdue | 2 UCLA,2 UCLA,144
1,1091f812-db7a-4fc8-acc5-0d6bc8163244,1TM32,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 7 Michigan State | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 5 Miami (FL) | 11 Pittsburgh | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 6 Kentucky | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 3 Gonzaga,6 Kentucky | 2 Arizona | 1 Houston | 1 Kansas,2 Arizona | 1 Kansas,1 Kansas,156
1,80250d4b-f599-452d-9ed2-3b4d13fe6c64,21bulldog,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 12 Drake | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 3 Baylor | 1 Houston | 3 Xavier | 4 UConn | 2 UCLA,2 Marquette | 1 Alabama | 1 Houston | 4 UConn,1 Alabama | 4 UConn,4 UConn,161
1,d7be59d6-939f-4a63-90e6-97a2ce39a237,2323yanks2323,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,8 Memphis | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 12 Charleston | 3 Baylor | 2 Arizona | 1 Houston | 5 Miami (FL) | 6 Iowa State | 2 Texas | 1 Kansas | 12 VCU | 3 Gonzaga | 2 UCLA,5 Duke | 3 Kansas State | 1 Alabama | 2 Arizona | 5 Miami (FL) | 2 Texas | 1 Kansas | 3 Gonzaga,5 Duke | 1 Alabama | 2 Texas | 1 Kansas,1 Alabama | 1 Kansas,1 Alabama,132
1,b71b3302-637c-45e5-bab3-efb9b9fe0689,25021,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 13 Kent State | 6 Iowa State | 3 Xavier | 10 Penn State | 15 Colgate | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 10 USC | 1 Alabama | 4 Virginia | 11 North Carolina State | 2 Arizona | 1 Houston | 13 Kent State | 6 Iowa State | 15 Colgate | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 10 USC | 4 Virginia | 2 Arizona | 1 Houston | 6 Iowa State | 4 UConn | 2 UCLA,5 Duke | 4 Virginia | 1 Houston | 2 UCLA,5 Duke | 2 UCLA,5 Duke,136
1,93902131-c8d9-43af-b038-64da1d654834,2EZzz,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 13 Furman | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 12 Drake | 4 Indiana | 11 Pittsburgh | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 6 Kentucky | 7 Michigan State | 1 Alabama | 5 San Diego State | 6 Creighton | 2 Arizona | 1 Houston | 4 Indiana | 11 Pittsburgh | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,4 Tennessee | 6 Kentucky | 1 Alabama | 6 Creighton | 1 Houston | 2 Texas | 4 UConn | 2 UCLA,4 Tennessee | 1 Alabama | 2 Texas | 4 UConn,1 Alabama | 2 Texas,2 Texas,142
1,ef38fa6f-019c-47b8-8c35-125587833792,30MA,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 4 Virginia | 6 Creighton | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 4 UConn | 2 UCLA,5 Duke | 1 Alabama | 2 Texas | 4 UConn,1 Alabama | 4 UConn,4 UConn,142
1,49509b99-18ab-4674-ba1d-57e09ab94720,3rd_and_schlong,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 13 Furman | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 12 Drake | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 6 Creighton | 2 Arizona | 1 Houston | 4 Indiana | 6 Iowa State | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,4 Tennessee | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,4 Tennessee | 1 Alabama | 1 Houston | 2 UCLA,1 Alabama | 1 Houston,1 Houston,155
1,1f2ae141-1ea2-4967-91ad-96d0e7cf7367,73765,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 13 Furman | 11 North Carolina State | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 12 Drake | 13 Kent State | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 12 Drake | 6 Iowa State | 2 Texas | 1 Kansas | 5 Saint Mary's | 6 TCU | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 2 Arizona | 2 Texas | 1 Kansas,2 Arizona | 1 Kansas,1 Kansas,142
1,41c0f063-5a55-4249-8140-b82d057ef3fd,800club,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 12 Drake | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 12 Drake | 3 Xavier | 2 Texas | 1 Kansas | 5 Saint Mary's | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 12 Drake | 3 Xavier | 5 Saint Mary's | 2 UCLA,2 Marquette | 1 Alabama | 3 Xavier | 2 UCLA,1 Alabama | 2 UCLA,1 Alabama,179
1,49a7cd36-c1a6-4c72-9352-b66413f134d4,8989DOJO,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 11 Arizona State | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 5 Saint Mary's | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 3 Baylor | 1 Houston | 2 Texas | 1 Kansas | 3 Gonzaga,1 Purdue | 1 Alabama | 1 Houston | 1 Kansas,1 Alabama | 1 Houston,1 Alabama,163
1,7f60da32-bc7e-4a0d-9841-2e73a3ef5642,9066,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 5 Saint Mary's | 3 Gonzaga | 2 UCLA,1 Purdue | 6 Kentucky | 1 Alabama | 2 Arizona | 4 Indiana | 2 Texas | 1 Kansas | 3 Gonzaga,1 Purdue | 1 Alabama | 4 Indiana | 3 Gonzaga,1 Alabama | 3 Gonzaga,1 Alabama,122
1,55b90024-6ca8-4f38-9373-d3d1d2af88b0,A_GurleyHasNoName,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 13 Kent State | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 11 Arizona State | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 6 Creighton | 2 Arizona | 1 Houston | 5 Miami (FL) | 6 Iowa State | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 3 Gonzaga,5 Duke | 1 Alabama | 1 Houston | 1 Kansas,1 Alabama | 1 Houston,1 Alabama,143
1,b2ace174-8d34-418e-be6e-a8a848dc5f25,aaronarmstrong95,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 6 Iowa State | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 3 Kansas State | 1 Alabama | 2 Arizona | 4 Indiana | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 2 Arizona | 2 Texas | 1 Kansas,1 Purdue | 2 Texas,2 Texas,148
1,4b583e59-10f5-475c-94bf-7ef27a3f4d72,aaronstatefarm,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 1 Alabama | 1 Houston | 1 Kansas,1 Alabama | 1 Houston,1 Alabama,138
1,ccd433d8-5985-4ce7-b9c1-b611a216b5d4,abaglino84,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 13 Kent State | 11 Pittsburgh | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 9 West Virginia | 5 San Diego State | 11 North Carolina State | 7 Missouri | 1 Houston | 5 Miami (FL) | 3 Xavier | 2 Texas | 1 Kansas | 5 Saint Mary's | 6 TCU | 2 UCLA,5 Duke | 6 Kentucky | 5 San Diego State | 11 North Carolina State | 1 Houston | 2 Texas | 5 Saint Mary's | 2 UCLA,5 Duke | 5 San Diego State | 1 Houston | 5 Saint Mary's,5 Duke | 5 Saint Mary's,5 Duke,150
1,998c24de-d50c-48af-8302-06418723e1e4,ACAP74,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 14 Montana State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 16 Northern Kentucky | 9 Auburn | 5 Miami (FL) | 13 Kent State | 6 Iowa State | 14 Kennesaw State | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 13 Iona | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 6 Kentucky | 2 Marquette | 9 West Virginia | 12 Charleston | 3 Baylor | 2 Arizona | 16 Northern Kentucky | 13 Kent State | 6 Iowa State | 7 Texas A&M | 9 Illinois | 12 VCU | 6 TCU | 2 UCLA,1 Purdue | 2 Marquette | 9 West Virginia | 3 Baylor | 16 Northern Kentucky | 7 Texas A&M | 12 VCU | 6 TCU,1 Purdue | 3 Baylor | 7 Texas A&M | 12 VCU,1 Purdue | 7 Texas A&M,1 Purdue,105
1,61d00bc4-52d5-4370-a63f-ec9bac0316b3,acend,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 6 Iowa State | 10 Penn State | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 3 Baylor | 1 Houston | 10 Penn State | 1 Kansas | 3 Gonzaga,2 Marquette | 3 Baylor | 1 Houston | 3 Gonzaga,3 Baylor | 3 Gonzaga,3 Gonzaga,151
1,d1caa37f-b72a-4651-a1b6-025a8f1eb1b3,acg1,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 11 Providence | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 12 Drake | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 11 Providence | 2 Marquette | 1 Alabama | 5 San Diego State | 6 Creighton | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 2 UCLA,1 Purdue | 1 Alabama | 2 Texas | 2 UCLA,1 Alabama | 2 UCLA,2 UCLA,173
1,582dc12c-3b45-45e1-8d8d-22a920c425de,achalal,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 8 Iowa | 5 Miami (FL) | 13 Kent State | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 4 Virginia | 6 Creighton | 2 Arizona | 1 Houston | 5 Miami (FL) | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 1 Kansas | 3 Gonzaga,5 Duke | 2 Arizona | 2 Texas | 1 Kansas,2 Arizona | 2 Texas,2 Arizona,147
1,2cf77728-84b8-4f66-93e4-764032b514e1,adamd5581,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 5 Duke | 3 Kansas State | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 2 Marquette | 1 Alabama | 2 Arizona | 1 Houston | 3 Xavier | 4 UConn | 2 UCLA,1 Purdue | 1 Alabama | 1 Houston | 4 UConn,1 Alabama | 1 Houston,1 Alabama,148
1,df8acbc4-a7a1-4c08-bef0-7fc15a2e6ba3,adampantano,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 7 Michigan State | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 12 Drake | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 6 Kentucky | 7 Michigan State | 1 Alabama | 5 San Diego State | 6 Creighton | 2 Arizona | 1 Houston | 12 Drake | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,4 Tennessee | 6 Kentucky | 1 Alabama | 6 Creighton | 1 Houston | 2 Texas | 4 UConn | 3 Gonzaga,6 Kentucky | 6 Creighton | 1 Houston | 3 Gonzaga,6 Creighton | 1 Houston,1 Houston,134
1,bb00e6a0-5f89-4c56-8ae9-ea7b5f36521d,adidam55,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 13 Furman | 11 North Carolina State | 3 Baylor | 10 Utah State | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 13 Kent State | 11 Pittsburgh | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 12 VCU | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 5 Duke | 6 Kentucky | 2 Marquette | 1 Alabama | 5 San Diego State | 3 Baylor | 2 Arizona | 1 Houston | 5 Miami (FL) | 11 Pittsburgh | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,5 Duke | 6 Kentucky | 1 Alabama | 2 Arizona | 1 Houston | 2 Texas | 4 UConn | 3 Gonzaga,5 Duke | 1 Alabama | 2 Texas | 3 Gonzaga,1 Alabama | 2 Texas,2 Texas,148
1,1fc5b43d-4bc7-46bf-8c94-92a34dd059c5,admiraldago,10,1920,0,1 Purdue | 9 Florida Atlantic | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 5 San Diego State | 4 Virginia | 6 Creighton | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 10 Penn State | 2 Texas | 1 Kansas | 9 Illinois | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 7 Northwestern | 2 UCLA,1 Purdue | 4 Tennessee | 3 Kansas State | 2 Marquette | 1 Alabama | 4 Virginia | 3 Baylor | 2 Arizona | 1 Houston | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,1 Purdue | 3 Kansas State | 4 Virginia | 2 Arizona | 1 Houston | 3 Xavier | 4 UConn | 3 Gonzaga,1 Purdue | 2 Arizona | 1 Houston | 4 UConn,2 Arizona | 1 Houston,1 Houston,131
1,186d4068-20e2-44fc-ac60-fdea1ef08514,ADONNurse,10,1920,0,1 Purdue | 8 Memphis | 5 Duke | 4 Tennessee | 6 Kentucky | 3 Kansas State | 10 USC | 2 Marquette | 1 Alabama | 9 West Virginia | 12 Charleston | 4 Virginia | 11 North Carolina State | 3 Baylor | 7 Missouri | 2 Arizona | 1 Houston | 9 Auburn | 5 Miami (FL) | 4 Indiana | 6 Iowa State | 3 Xavier | 7 Texas A&M | 2 Texas | 1 Kansas | 8 Arkansas | 5 Saint Mary's | 4 UConn | 6 TCU | 3 Gonzaga | 10 Boise State | 2 UCLA,1 Purdue | 4 Tennessee | 6 Kentucky | 10 USC | 9 West Virginia | 4 Virginia | 11 North Carolina State | 2 Arizona | 9 Auburn | 4 Indiana | 3 Xavier | 2 Texas | 1 Kansas | 4 UConn | 3 Gonzaga | 2 UCLA,4 Tennessee | 6 Kentucky | 9 West Virginia | 11 North Carolina State | 4 Indiana | 3 Xavier | 1 Kansas | 3 Gonzaga,6 Kentucky | 11 North Carolina State | 3 Xavier | 3 Gonzaga,6 Kentucky | 3 Gonzaga,6 Kentucky,102
